BIC Scores from Folder,BIC Values from Specific File,MIX_MF
1372.7671,1443.673,-70.9059
9988.4896,10036.13,-47.6404
3238.0934,3251.687,-13.5936
5227.2738,5242.03,-14.7562
3768.116,3804.57,-36.454
5135.8298,5159.833,-24.0032
8453.2532,8515.777,-62.5238
6084.3926,6102.957,-18.5644
2037.026,2113.683,-76.657
4678.9597,4703.98,-25.0203
8994.155,9027.053,-32.898
5350.0065,5374.752,-24.7455
3153.2619,3206.549,-53.2871
4795.3808,4823.317,-27.9362
6869.2225,6891.624,-22.4015
1594.3276,1609.583,-15.2554
32391.5664,32462.534,-70.9676
15455.8483,15509.035,-53.1867
5478.6518,5498.684,-20.0322
4258.1607,4305.098,-46.9373
3823.3214,3839.456,-16.1346
12758.5521,12797.249,-38.6969
5923.0858,5939.319,-16.2332
26970.3354,27134.594,-164.2586
12581.9918,12646.106,-64.1142
6496.1921,6520.063,-23.8709
13042.2856,13080.26,-37.9744
15756.2388,15825.48,-69.2412
11223.8721,11261.177,-37.3049
8109.2945,8125.849,-16.5545
8619.9347,8634.433,-14.4983
6273.7413,6300.58,-26.8387
6057.0212,6082.439,-25.4178
4917.5457,4917.763,-0.2173
32200.5725,32324.486,-123.9135
3609.5534,3637.316,-27.7626
15156.7874,15197.092,-40.3046
4005.2501,4021.896,-16.6459
6243.6495,6258.491,-14.8415
4538.7637,4559.388,-20.6243
4555.9853,4605.62,-49.6347
5208.9074,5214.406,-5.4986
12532.4798,12608.151,-75.6712
50135.0904,50281.083,-145.9926
7741.8075,7742.207,-0.3995
3187.2978,3251.525,-64.2272
2022.1482,2040.142,-17.9938
7432.0794,7478.816,-46.7366
7687.1217,7746.434,-59.3123
14071.1343,14197.711,-126.5767
4353.9007,4392.984,-39.0833
3323.4793,3329.964,-6.4847
3957.2631,3960.79,-3.5269
18841.1051,18853.988,-12.8829
3735.3443,3756.383,-21.0387
20587.4344,20762.24,-174.8056
3763.7335,3802.404,-38.6705
26818.9359,26874.442,-55.5061
2978.0092,2989.797,-11.7878
2345.8959,2369.163,-23.2671
2400.6234,2415.387,-14.7636
5426.8196,5449.17,-22.3504
1708.0529,1759.046,-50.9931
22107.679,22186.567,-78.888
3755.0982,3784.929,-29.8308
10086.4261,10143.388,-56.9619
3644.1606,3648.033,-3.8724
2229.5183,2229.52,-0.0017
5258.3217,5269.696,-11.3743
7501.7565,7536.776,-35.0195
3854.091,3872.554,-18.463
3972.0936,3980.241,-8.1474
4302.156,4311.679,-9.523
11453.1966,11558.836,-105.6394
1168.0348,1204.996,-36.9612
10070.7291,10176.084,-105.3549
5271.3075,5290.043,-18.7355
12524.5634,12553.713,-29.1496
5100.6815,5129.698,-29.0165
4096.0514,4096.928,-0.8766
2291.233,2312.605,-21.372
7242.1173,7341.6,-99.4827
3332.9876,3358.443,-25.4554
13334.4707,13398.426,-63.9553
2568.1668,2574.58,-6.4132
5267.1423,5309.257,-42.1147
9626.6411,9637.488,-10.8469
12468.6038,12579.049,-110.4452
5001.7068,5015.122,-13.4152
4449.0042,4465.865,-16.8608
4547.4981,4582.503,-35.0049
5106.7974,5113.835,-7.0376
10448.0431,10496.321,-48.2779
4837.4412,4868.068,-30.6268
2368.107,2376.485,-8.378
7990.2632,8003.425,-13.1618
5145.8952,5154.223,-8.3278
20374.3985,20402.54,-28.1415
2704.6367,2732.001,-27.3643
8789.4975,8813.926,-24.4285
4217.2919,4243.765,-26.4731
4364.7934,4391.088,-26.2946
3018.2543,3050.522,-32.2677
6362.6736,6379.701,-17.0274
5606.8162,5646.321,-39.5048
4480.0565,4493.629,-13.5725
31757.8279,31807.421,-49.5931
14626.1174,14696.762,-70.6446
1946.7892,1968.379,-21.5898
5811.4813,5824.541,-13.0597
3980.4595,3983.991,-3.5315
7887.6911,7938.181,-50.4899
7412.0508,7437.424,-25.3732
10088.3817,10104.45,-16.0683
3956.6068,3991.803,-35.1962
2700.9706,2726.696,-25.7254
28663.9077,28745.211,-81.3033
6984.7157,7038.089,-53.3733
2254.4173,2257.372,-2.9547
5839.0905,5852.435,-13.3445
3464.6286,3481.58,-16.9514
6722.6782,6744.608,-21.9298
1933.8289,1942.74,-8.9111
6598.7088,6651.966,-53.2572
3365.2413,3375.91,-10.6687
13425.9285,13567.395,-141.4665
6810.4799,6855.496,-45.0161
3305.3853,3308.918,-3.5327
2956.6879,2966.085,-9.3971
3265.5435,3300.551,-35.0075
12278.4744,12316.748,-38.2736
2196.9745,2201.815,-4.8405
9367.3276,9400.051,-32.7234
6109.2607,6130.428,-21.1673
1771.2083,1793.07,-21.8617
2913.5073,2921.838,-8.3307
4486.721,4509.119,-22.398
1717.5808,1729.47,-11.8892
6817.4312,6872.224,-54.7928
8372.602,8428.124,-55.522
2838.2066,2841.003,-2.7964
5905.1694,5927.275,-22.1056
42683.3884,42833.954,-150.5656
6683.9937,6710.996,-27.0023
5118.7005,5132.08,-13.3795
2599.4109,2605.953,-6.5421
10941.9048,10999.068,-57.1632
8611.0263,8674.873,-63.8467
4432.3055,4450.854,-18.5485
6817.1379,6838.893,-21.7551
4937.1131,4941.918,-4.8049
3795.8354,3801.471,-5.6356
1178.7245,1211.662,-32.9375
9047.3965,9089.534,-42.1375
8412.4639,8419.794,-7.3301
17624.3088,17670.551,-46.2422
12381.9092,12427.512,-45.6028
2975.795,3092.649,-116.854
4627.9683,4649.304,-21.3357
6071.2219,6088.097,-16.8751
2641.7051,2655.966,-14.2609
4203.9256,4228.765,-24.8394
10752.1727,10783.32,-31.1473
2295.3518,2299.596,-4.2442
10061.0275,10156.977,-95.9495
11148.4354,11230.351,-81.9156
6828.9258,6833.412,-4.4862
2675.6383,2697.945,-22.3067
5875.0713,5882.396,-7.3247
2762.91,2837.563,-74.653
4825.9586,4834.451,-8.4924
14345.6455,14408.145,-62.4995
7142.5166,7168.874,-26.3574
7666.1869,7716.291,-50.1041
9192.8555,9253.846,-60.9905
1564.0656,1622.267,-58.2014
4790.4836,4829.313,-38.8294
8695.8392,8713.967,-18.1278
3775.8543,3798.073,-22.2187
14970.5254,14987.86,-17.3346
7912.7802,7980.718,-67.9378
13715.7806,13765.012,-49.2314
4691.5586,4711.55,-19.9914
12588.1529,12620.733,-32.5801
6454.7261,6498.246,-43.5199
3164.5499,3181.798,-17.2481
10890.8956,10958.552,-67.6564
3229.6727,3245.446,-15.7733
4349.5099,4378.581,-29.0711
3612.9552,3620.559,-7.6038
19880.652,19938.339,-57.687
4876.6279,4879.789,-3.1611
6157.5486,6191.521,-33.9724
11652.0472,11322.546,329.5012
4428.1191,4463.125,-35.0059
2541.7264,2550.28,-8.5536
22991.4387,23091.242,-99.8033
4505.3632,4536.264,-30.9008
4660.1608,4694.656,-34.4952
15745.5881,15809.874,-64.2859
19822.0492,19942.053,-120.0038
3265.5722,3314.856,-49.2838
6955.626,6974.889,-19.263
2333.3658,2348.306,-14.9402
3968.4983,3975.933,-7.4347
4954.495,4960.148,-5.653
9306.6029,9313.854,-7.2511
3834.1193,3849.931,-15.8117
15753.0405,15839.887,-86.8465
7034.7446,7056.914,-22.1694
3182.8372,3194.749,-11.9118
8961.1369,9007.203,-46.0661
14414.739,14457.824,-43.085
6638.06,6712.35,-74.29
4135.6265,4182.5,-46.8735
11029.8588,11090.882,-61.0232
13192.6576,13257.624,-64.9664
3937.7952,3982.909,-45.1138
8918.8885,9011.077,-92.1885
4951.5193,4963.496,-11.9767
11706.1447,11776.603,-70.4583
1583.5122,1632.249,-48.7368
11802.6771,11877.77,-75.0929
6480.2334,6531.194,-50.9606
7819.1342,7840.985,-21.8508
5144.3977,5156.7,-12.3023
3464.4955,3472.51,-8.0145
3580.3902,3588.258,-7.8678
2759.2131,2778.926,-19.7129
11150.4459,11217.895,-67.4491
7726.3761,7735.054,-8.6779
38274.9618,38345.989,-71.0272
7296.0618,7338.252,-42.1902
11964.9108,11980.599,-15.6882
12365.9741,12401.341,-35.3669
14863.1118,14948.325,-85.2132
10432.7453,10453.453,-20.7077
2044.6469,2052.129,-7.4821
4626.199,4633.928,-7.729
3649.2767,3668.644,-19.3673
5176.1986,5198.16,-21.9614
7878.9854,7879.776,-0.7906
14258.2117,14318.705,-60.4933
6067.5715,6099.272,-31.7005
3951.7812,3953.739,-1.9578
2754.8825,2772.862,-17.9795
17989.7219,18023.646,-33.9241
8818.8159,8861.982,-43.1661
5238.8109,5242.322,-3.5111
17407.8307,17573.776,-165.9453
8178.3441,8192.65,-14.3059
4820.64,4864.756,-44.116
2317.2799,2341.443,-24.1631
8561.016,8592.948,-31.932
5596.2416,5607.506,-11.2644
9923.8147,10014.579,-90.7643
6103.5937,6132.049,-28.4553
7009.0895,7025.531,-16.4415
7722.9631,7733.415,-10.4519
4283.1286,4305.394,-22.2654
4275.1661,4305.124,-29.9579
10753.027,10830.561,-77.534
3741.2828,3748.675,-7.3922
5625.5222,5639.72,-14.1978
2980.5982,3003.051,-22.4528
2238.6748,2261.341,-22.6662
6684.6118,6705.181,-20.5692
1972.0039,1988.175,-16.1711
6600.2203,6725.612,-125.3917
2080.219,2088.476,-8.257
4432.9693,4451.234,-18.2647
3070.131,3073.361,-3.23
2621.6662,2647.507,-25.8408
2578.9882,2598.33,-19.3418
1930.6535,1934.301,-3.6475
6566.3467,6681.436,-115.0893
17916.5497,18110.474,-193.9243
7736.8597,7793.239,-56.3793
1797.8894,1818.341,-20.4516
6963.2701,6986.65,-23.3799
7349.1527,7391.973,-42.8203
5247.7586,5270.197,-22.4384
8943.8772,8988.479,-44.6018
21602.8298,21672.694,-69.8642
12507.2148,12569.97,-62.7552
2483.5894,2539.776,-56.1866
9779.4055,9799.113,-19.7075
2946.8738,2979.534,-32.6602
4839.2755,4854.257,-14.9815
2787.9878,2838.301,-50.3132
7713.7475,7777.062,-63.3145
6386.7831,6409.183,-22.3999
11943.9068,11990.336,-46.4292
12711.7413,12852.353,-140.6117
2064.7893,2077.247,-12.4577
5012.4243,5047.263,-34.8387
10371.7526,10403.285,-31.5324
1257.5561,1334.074,-76.5179
3700.3243,3742.322,-41.9977
2064.5506,2067.721,-3.1704
2967.8252,2986.831,-19.0058
3973.5442,3979.163,-5.6188
2564.7288,2601.762,-37.0332
4047.1389,4074.312,-27.1731
6061.088,6091.098,-30.01
5773.9474,5807.374,-33.4266
8117.2669,8160.955,-43.6881
5220.7806,5242.628,-21.8474
8203.5318,8243.811,-40.2792
9424.7516,9467.113,-42.3614
10988.9176,11058.165,-69.2474
6031.0212,6044.952,-13.9308
3353.3906,3356.757,-3.3664
16279.7095,16392.022,-112.3125
4888.3621,4908.649,-20.2869
7973.3073,8008.184,-34.8767
1250.3669,1321.468,-71.1011
8047.1734,8107.248,-60.0746
5324.4565,5364.008,-39.5515
3274.3002,3279.162,-4.8618
11784.7745,11795.276,-10.5015
5850.3961,5884.404,-34.0079
6896.7775,6903.871,-7.0935
5629.0647,5658.21,-29.1453
4563.1623,4562.65,0.5123
3381.9562,3393.545,-11.5888
15100.7134,15126.637,-25.9236
1388.9791,1407.779,-18.7999
2054.3078,2063.541,-9.2332
2766.6361,2776.667,-10.0309
3718.6127,3723.797,-5.1843
4299.8505,4316.588,-16.7375
16704.0317,16761.325,-57.2933
1899.2712,1928.057,-28.7858
5619.725,5641.668,-21.943
2596.9587,2608.323,-11.3643
3386.1515,3453.618,-67.4665
6265.5194,6304.181,-38.6616
7761.1299,7798.707,-37.5771
1275.5404,1297.153,-21.6126
6711.035,6717.709,-6.674
11303.9995,11324.812,-20.8125
17933.1517,18063.038,-129.8863
8603.1083,8747.11,-144.0017
19693.9329,19735.033,-41.1001
9490.4584,9585.226,-94.7676
1642.1995,1683.584,-41.3845
4993.1979,5019.764,-26.5661
5750.0617,5779.97,-29.9083
2539.4499,2556.762,-17.3121
3580.0571,3644.847,-64.7899
3104.8185,3128.152,-23.3335
12459.5767,12513.454,-53.8773
9073.4559,9108.516,-35.0601
3998.3968,4008.415,-10.0182
2820.5243,2822.602,-2.0777
2548.7844,2549.795,-1.0106
10954.2873,11013.514,-59.2267
3847.0143,3876.446,-29.4317
4787.3878,4821.92,-34.5322
6710.8906,6746.188,-35.2974
4294.2446,4305.37,-11.1254
6818.0744,6841.318,-23.2436
5057.5588,5096.678,-39.1192
7748.7007,7770.343,-21.6423
15612.4579,15674.15,-61.6921
1945.5264,1945.528,-0.0016
1217.9987,1233.911,-15.9123
3309.1077,3351.106,-41.9983
5666.7336,5695.431,-28.6974
22857.889,23015.49,-157.601
11788.8656,11829.381,-40.5154
3422.6443,3444.477,-21.8327
3037.1524,3047.317,-10.1646
7101.0685,7141.331,-40.2625
30872.2393,30999.343,-127.1037
3356.8574,3421.797,-64.9396
3380.6083,3389.726,-9.1177
3864.8688,3880.298,-15.4292
2019.0353,2031.543,-12.5077
3745.2398,3780.543,-35.3032
3304.6995,3338.671,-33.9715
1786.3224,1829.21,-42.8876
24321.101,24555.161,-234.06
2868.5601,2870.183,-1.6229
7626.3407,7630.745,-4.4043
5834.5421,5853.006,-18.4639
14915.5731,14994.36,-78.7869
26105.5563,26288.091,-182.5347
4417.6634,4431.443,-13.7796
7539.0702,7573.664,-34.5938
2422.9124,2433.289,-10.3766
3617.7392,3625.838,-8.0988
22049.7069,22334.261,-284.5541
6971.6732,7025.378,-53.7048
1600.5272,1711.423,-110.8958
2466.9132,2512.389,-45.4758
5624.9244,5668.988,-44.0636
4987.3938,5045.936,-58.5422
5899.7083,5918.85,-19.1417
13302.4508,13425.518,-123.0672
13016.8371,13088.591,-71.7539
1666.686,1705.65,-38.964
13748.919,13762.902,-13.983
4104.845,4113.635,-8.79
7520.5838,7600.818,-80.2342
11415.1708,11468.174,-53.0032
9630.2423,9682.906,-52.6637
2592.153,2600.226,-8.073
1790.1132,1795.274,-5.1608
10949.4792,11038.458,-88.9788
2652.3172,2681.516,-29.1988
4477.5175,4485.947,-8.4295
5828.711,5837.307,-8.596
3289.6634,3319.783,-30.1196
6087.0095,6109.991,-22.9815
2771.6962,2779.906,-8.2098
4214.2282,4220.839,-6.6108
2873.5695,2874.593,-1.0235
5000.4574,5002.211,-1.7536
7391.2339,7420.517,-29.2831
2448.1888,2472.34,-24.1512
3763.8365,3779.786,-15.9495
10187.8724,10222.13,-34.2576
5068.0498,5096.189,-28.1392
3285.5981,3307.378,-21.7799
5061.3234,5140.758,-79.4346
3570.219,3578.231,-8.012
20602.6077,20679.172,-76.5643
5575.9153,5602.345,-26.4297
2672.3077,2714.349,-42.0413
3673.9521,3715.401,-41.4489
7861.6125,7889.55,-27.9375
16283.9513,16481.943,-197.9917
10180.1954,10216.448,-36.2526
16932.4331,16981.87,-49.4369
16270.0386,16380.853,-110.8144
7857.8237,7869.811,-11.9873
4552.3267,4589.008,-36.6813
4891.1147,4930.086,-38.9713
3618.0983,3660.816,-42.7177
3064.4247,3072.936,-8.5113
4867.6472,4913.205,-45.5578
3094.9463,3104.737,-9.7907
17333.1475,17456.458,-123.3105
3627.7201,3677.704,-49.9839
4962.9567,4984.501,-21.5443
10561.8905,10633.085,-71.1945
3089.6811,3097.777,-8.0959
2976.6979,3001.009,-24.3111
6143.9617,6175.175,-31.2133
1978.2383,1986.131,-7.8927
10406.5902,10428.603,-22.0128
6983.4905,7010.549,-27.0585
5102.7592,5262.177,-159.4178
6473.0604,6489.54,-16.4796
8206.134,8229.914,-23.78
5199.3508,5221.448,-22.0972
1762.923,1763.157,-0.234
4969.3293,4988.358,-19.0287
1002.5589,1024.121,-21.5621
3657.7925,3687.355,-29.5625
3734.6294,3758.535,-23.9056
3362.5491,3374.857,-12.3079
1346.9663,1383.482,-36.5157
1583.5769,1596.149,-12.5721
14121.668,14177.264,-55.596
4182.2981,4191.158,-8.8599
4286.8816,4290.716,-3.8344
923.256,938.32,-15.064
2472.824,2485.034,-12.21
10257.1569,10283.511,-26.3541
2589.8004,2602.975,-13.1746
4158.1476,4182.87,-24.7224
16396.7106,16446.162,-49.4514
2268.8075,2282.618,-13.8105
